,Country,Code,Indicator,Year,Co2_per
294,Bolivia,BOL,Emisiones de CO2 (toneladas métricas per capita),1991,1.500077779
295,Brasil,BRA,Emisiones de CO2 (toneladas métricas per capita),1991,1.340029763
296,Barbados,BRB,Emisiones de CO2 (toneladas métricas per capita),1991,3.855136044
297,Brunei Darussalam,BRN,Emisiones de CO2 (toneladas métricas per capita),1991,12.54168828
298,Bhutan,BTN,Emisiones de CO2 (toneladas métricas per capita),1991,0.321995385
299,Botswana,BWA,Emisiones de CO2 (toneladas métricas per capita),1991,1.980828403
300,Republica Centroafricana,CAF,Emisiones de CO2 (toneladas métricas per capita),1991,0.048998431
301,Canada,CAN,Emisiones de CO2 (toneladas métricas per capita),1991,14.74096404
302,Europa Central y del Báltico,CEB,Emisiones de CO2 (toneladas métricas per capita),1991,8.29458243
303,Suiza,CHE,Emisiones de CO2 (toneladas métricas per capita),1991,6.71572761
304,Islas del Canal,CHI,Emisiones de CO2 (toneladas métricas per capita),1991,
305,Chile,CHL,Emisiones de CO2 (toneladas métricas per capita),1991,2.15628363
306,China,CHN,Emisiones de CO2 (toneladas métricas per capita),1991,2.000543284
307,Cote d'Ivoire,CIV,Emisiones de CO2 (toneladas métricas per capita),1991,0.225680273
308,Camerun,CMR,Emisiones de CO2 (toneladas métricas per capita),1991,0.591472763
309,"Congo, Republica Democrática del",COD,Emisiones de CO2 (toneladas métricas per capita),1991,0.046724258
310,"Congo, Republica del",COG,Emisiones de CO2 (toneladas métricas per capita),1991,1.302015147
311,Colombia,COL,Emisiones de CO2 (toneladas métricas per capita),1991,1.535757861
312,Comoras,COM,Emisiones de CO2 (toneladas métricas per capita),1991,0.155332518
