Indicator,Code,Year,Pop
Poblacion Total,TZA,1991,26890906
Poblacion Total,UGA,1991,18171935
Poblacion Total,UKR,1991,52000500
Poblacion Total,UMC,1991,2143327776
Poblacion Total,URY,1991,3135374
Poblacion Total,USA,1991,252981000
Poblacion Total,UZB,1991,20952000
Poblacion Total,VCT,1991,112780
Poblacion Total,VEN,1991,20226214
Poblacion Total,VGB,1991,16090
Poblacion Total,VIR,1991,104807
Poblacion Total,VNM,1991,68358820
Poblacion Total,VUT,1991,154678
Poblacion Total,WLD,1991,5382536929
Poblacion Total,WSM,1991,168701
Poblacion Total,XKX,1991,1898000
Poblacion Total,YEM,1991,13895851
Poblacion Total,ZAF,1991,40910959
Poblacion Total,ZMB,1991,7880466
Poblacion Total,ZWE,1991,10377815
Poblacion Total,ABW,1992,70192
Poblacion Total,AFG,1992,12057433
Poblacion Total,AGO,1992,12632507
Poblacion Total,ALB,1992,3247039
Poblacion Total,AND,1992,57283
Poblacion Total,ARB,1992,236598334
Poblacion Total,ARE,1992,2116231
Poblacion Total,ARG,1992,33568285
Poblacion Total,ARM,1992,3574555
Poblacion Total,ASM,1992,50078
Poblacion Total,ATG,1992,64659
Poblacion Total,AUS,1992,17478635
Poblacion Total,AUT,1992,7840709
Poblacion Total,AZE,1992,7382050
Poblacion Total,BDI,1992,5743085
Poblacion Total,BEL,1992,10045158
Poblacion Total,BEN,1992,5457778
Poblacion Total,BFA,1992,9598555
Poblacion Total,BGD,1992,111272102
Poblacion Total,BGR,1992,8540164
Poblacion Total,BHR,1992,554470
Poblacion Total,BHS,1992,281973
Poblacion Total,BIH,1992,4275730
Poblacion Total,BLR,1992,10216470
Poblacion Total,BLZ,1992,190299
Poblacion Total,BMU,1992,58595
Poblacion Total,BOL,1992,7394419
Poblacion Total,BRA,1992,155900790
Poblacion Total,BRB,1992,260212
Poblacion Total,BRN,1992,277416
Poblacion Total,BTN,1992,545944
Poblacion Total,BWA,1992,1420695
Poblacion Total,CAF,1992,2991727
Poblacion Total,CAN,1992,28371264
Poblacion Total,CEB,1992,110111454
Poblacion Total,CHE,1992,6875364
Poblacion Total,CHI,1992,142011
Poblacion Total,CHL,1992,13782297
Poblacion Total,CHN,1992,1164970000
Poblacion Total,CIV,1992,12838314
Poblacion Total,CMR,1992,12128604
Poblacion Total,COD,1992,38332302
Poblacion Total,COG,1992,2520958
Poblacion Total,COL,1992,33939039
Poblacion Total,COM,1992,452990
Poblacion Total,CPV,1992,381947
Poblacion Total,CRI,1992,3321939
Poblacion Total,CSS,1992,6152432
Poblacion Total,CUB,1992,10783748
Poblacion Total,CUW,1992,143912
Poblacion Total,CYM,1992,28677
Poblacion Total,CYP,1992,810431
Poblacion Total,CZE,1992,10319123
Poblacion Total,DEU,1992,80624598
Poblacion Total,DJI,1992,623197
Poblacion Total,DMA,1992,69112
Poblacion Total,DNK,1992,5171370
Poblacion Total,DOM,1992,7427340
Poblacion Total,DZA,1992,26748303
Poblacion Total,EAP,1992,1649253074
Poblacion Total,EAR,1992,2134566607
Poblacion Total,EAS,1992,1869453624
Poblacion Total,ECA,1992,366266798
Poblacion Total,ECS,1992,849816712
Poblacion Total,ECU,1992,10914222
Poblacion Total,EGY,1992,59989142
Poblacion Total,EMU,1992,314170604
Poblacion Total,ERI,1992,1921153
Poblacion Total,ESP,1992,39157685
Poblacion Total,EST,1992,1533091
Poblacion Total,ETH,1992,52011554
Poblacion Total,EUU,1992,422972438
Poblacion Total,FCS,1992,506088764
Poblacion Total,FIN,1992,5041992
Poblacion Total,FJI,1992,786859
Poblacion Total,FRA,1992,58849943
Poblacion Total,FRO,1992,46005
Poblacion Total,FSM,1992,102893
Poblacion Total,GAB,1992,1037446
Poblacion Total,GBR,1992,57580402
Poblacion Total,GEO,1992,4873500
Poblacion Total,GHA,1992,16241548
Poblacion Total,GIB,1992,26945
Poblacion Total,GIN,1992,6832195
Poblacion Total,GMB,1992,1127152
Poblacion Total,GNB,1992,1022904
Poblacion Total,GNQ,1992,501334
Poblacion Total,GRC,1992,10399061
Poblacion Total,GRD,1992,101040
Poblacion Total,GRL,1992,55300
Poblacion Total,GTM,1992,9544055
Poblacion Total,GUM,1992,143173
Poblacion Total,GUY,1992,744998
Poblacion Total,HIC,1992,1044477102
Poblacion Total,HKG,1992,5800500
Poblacion Total,HND,1992,5344774
Poblacion Total,HPC,1992,378502714
Poblacion Total,HRV,1992,4575818
Poblacion Total,HTI,1992,7205780
Poblacion Total,HUN,1992,10369341
Poblacion Total,IBD,1992,3567767393
Poblacion Total,IBT,1992,4478741276
Poblacion Total,IDA,1992,910973883
Poblacion Total,IDB,1992,300471959
Poblacion Total,IDN,1992,188558416
Poblacion Total,IDX,1992,610501924
Poblacion Total,IMN,1992,70307
Poblacion Total,IND,1992,907574049
Poblacion Total,INX,1992,
Poblacion Total,IRL,1992,3558430
Poblacion Total,IRN,1992,59372016
Poblacion Total,IRQ,1992,18385673
Poblacion Total,ISL,1992,261057
Poblacion Total,ISR,1992,5123000
Poblacion Total,ITA,1992,56797087
Poblacion Total,JAM,1992,2434574
Poblacion Total,JOR,1992,3866887
Poblacion Total,JPN,1992,124425000
Poblacion Total,KAZ,1992,16439095
Poblacion Total,KEN,1992,24655723
Poblacion Total,KGZ,1992,4515400
Poblacion Total,KHM,1992,9718215
Poblacion Total,KIR,1992,77901
Poblacion Total,KNA,1992,40900
Poblacion Total,KOR,1992,43747962
Poblacion Total,KWT,1992,1620633
Poblacion Total,LAC,1992,411115420
Poblacion Total,LAO,1992,4561106
Poblacion Total,LBN,1992,3745407
Poblacion Total,LBR,1992,2052626
Poblacion Total,LBY,1992,4444820
Poblacion Total,LCA,1992,146420
Poblacion Total,LCN,1992,458008075
Poblacion Total,LDC,1992,540619179
Poblacion Total,LIC,1992,304997572
Poblacion Total,LIE,1992,29581
Poblacion Total,LKA,1992,17624457
Poblacion Total,LMC,1992,1928297051
Poblacion Total,LMY,1992,4404987014
Poblacion Total,LSO,1992,1858507
Poblacion Total,LTE,1992,1894353796
Poblacion Total,LTU,1992,3700114
Poblacion Total,LUX,1992,392175
Poblacion Total,LVA,1992,2614338
Poblacion Total,MAC,1992,372370
Poblacion Total,MAF,1992,29035
Poblacion Total,MAR,1992,25400676
Poblacion Total,MCO,1992,30794
Poblacion Total,MDA,1992,2975621
Poblacion Total,MDG,1992,12623342
Poblacion Total,MDV,1992,239136
Poblacion Total,MEA,1992,270652251
Poblacion Total,MEX,1992,84993164
Poblacion Total,MHL,1992,48015
Poblacion Total,MIC,1992,4099989442
Poblacion Total,MKD,1992,2018023
Poblacion Total,MLI,1992,9310572
Poblacion Total,MLT,1992,367618
Poblacion Total,MMR,1992,41237813
Poblacion Total,MNA,1992,241132429
Poblacion Total,MNE,1992,608516
Poblacion Total,MNG,1992,2236494
Poblacion Total,MNP,1992,48128
Poblacion Total,MOZ,1992,13816881
Poblacion Total,MRT,1992,2147527
Poblacion Total,MUS,1992,1084441
Poblacion Total,MWI,1992,10115420
Poblacion Total,MYS,1992,18526708
Poblacion Total,NAC,1992,284943859
Poblacion Total,NAM,1992,1461687
Poblacion Total,NCL,1992,179799
Poblacion Total,NER,1992,8907644
Poblacion Total,NGA,1992,100182045
Poblacion Total,NIC,1992,4427172
Poblacion Total,NLD,1992,15184166
Poblacion Total,NOR,1992,4286401
Poblacion Total,NPL,1992,20702133
Poblacion Total,NRU,1992,10129
Poblacion Total,NZL,1992,3531700
Poblacion Total,OED,1992,1126417384
Poblacion Total,OMN,1992,1985227
Poblacion Total,OSS,1992,18570361
Poblacion Total,PAK,1992,122375179
Poblacion Total,PAN,1992,2554382
Poblacion Total,PER,1992,23047248
Poblacion Total,PHL,1992,64543525
Poblacion Total,PLW,1992,16004
